검색어,후보제목,후보링크,후보언론사,매칭과거일자,매칭과거제목,매칭과거링크,중복판정이유,공유주체,공유사건태그,종합점수,제목점수,토큰점수,본문점수
카카오,오늘도 운송수단 이모지 퀴즈…카카오뱅크 AI 퀴즈 정답 공개,https://news.google.com/rss/articles/CBMiVkFVX3lxTE1iVlRidFZYTHI0UllyYXk4TFBCTmlYdjI0bGpnWS1VMkptTWVfV1ppTEtUa3NrOUlXNDd3MGdBU1c3NkVQbEROaHpCYjF5NTVFR1lGanFB?oc=5,위키트리,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"카카오엔터, 5일 백덕수 원작 ‘괴담출근’ 웹툰 공개",https://news.google.com/rss/articles/CBMibkFVX3lxTE9PaG9SOC1ZRlB3MDhWOXNJTTY4Y1U5RUxibThISHMyQ0piV2h1M3ZLdWl2Q0g1bl9tdXF2QlExeW5xYl9mZm16M1RFVXpXTTJhdGlEc0t1MmRLN2NwemJLT1VlSHZIbXQ0RVhZdzJ3?oc=5,중소기업신문,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"카카오페이, 제주 곶자왈 보전 위해 1,000만원 기부",https://news.google.com/rss/articles/CBMickFVX3lxTFBFUUJCV0dtdERqT3BUeUowcFlTRHhwdDR3Z2NlY0VlMTM0eVBpcG10U3NPdnFXcDRXWUgwMjJiSk80ZWtqUmxMWmZUaS1sYnVBOUhLZ3N0R3N6VVIyWnpWRmxCaTlKcXo5Z2lfYThIWDRMZw?oc=5,인더스트리뉴스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"카카오페이지 인기 웹소설 '괴담출근', 웹툰으로 본다",https://news.google.com/rss/articles/CBMiYEFVX3lxTFA3RFdwQTRtWWNwWHh5NHBHNWhuekJDZFN4Sm5FcHNyRnVGaVdBcWZ3VFZ6OTRCbEZWNDZCTVNHdWE0RE10ZFRtcHdqUy1OX3EtbjVMMFI5cUZ2MFpoYlBxN9IBYEFVX3lxTFA3RFdwQTRtWWNwWHh5NHBHNWhuekJDZFN4Sm5FcHNyRnVGaVdBcWZ3VFZ6OTRCbEZWNDZCTVNHdWE0RE10ZFRtcHdqUy1OX3EtbjVMMFI5cUZ2MFpoYlBxNw?oc=5,연합뉴스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"카카오엔터, 화제작 '괴담출근' 웹툰 5일 밤 전격 공개",https://news.google.com/rss/articles/CBMia0FVX3lxTE1hajNwSk95enNIZWxmbm1vbDJqS1Nsd3FyZ0E5LTR1anR3YVYzNHVSU1dYMDJVVGs1a3U1RE9EajN1d18tak5ma2JiQ1ZDTGlLMGczOTdkV1NMa1RGQ1dKNVhGc0NDZ0ZJRHhR?oc=5,BBS불교방송,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"카카오, 세계 환경의 날 맞이 친환경 캠페인 전개",https://news.google.com/rss/articles/CBMiaEFVX3lxTE1NTG5jdFJSSTN3QlhMSzhhZTF3YUlGbEVRVFFvTFZJeV9taXdkX2VROHFWcVpkci15c3BIdGR5aENOVDRTSTRuczF6bjlTZE91WTVBbXdYRG5hZHYwV0l3ejgyRE9oZjFG?oc=5,fetv.co.kr,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"누적 조회수 3.7억 '괴담출근', 웹툰 론칭…5일 카카오페이지 공개",https://news.google.com/rss/articles/CBMiTkFVX3lxTE9YVzdfLXluUmhaWmZKR0xoSGRUNklSNkdjSHpJeVpUMVo2UDJldGxYQXhJU2ZvOEZzZktNYlJSc1p1Q3E1ZGtOcVlRaTZEdw?oc=5,전자신문,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"카카오페이지, '괴담출근' 웹툰 5일 오후 10시 공개",https://news.google.com/rss/articles/CBMiX0FVX3lxTE1qYUYzR05hZmRscm85c296dDdaU0JQb2huVXFrN29qcXBNaTlNaDVjUWgtNmx4SDE0NUlFOFJ1Vk5Sa1NnSi12TF9iNVVjb0ZPMk5keWNPQWsxM0JBeEo0?oc=5,뉴스1,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"[테크스냅] 토스, '휴면예금 되찾기' 서비스 출시",https://news.google.com/rss/articles/CBMiYEFVX3lxTE9VT0lFbmRvb1pLWU42Y2ZkUlQ0d0VjZG1aVFdqbm4zZlF3NThFZFFJeWpCaTZJVEFKYldCcVBRUnFUQTFDOWI2SGVaa0lndUlqT3ZjVkVGalhpbnNSYnRSZ9IBYEFVX3lxTE9VT0lFbmRvb1pLWU42Y2ZkUlQ0d0VjZG1aVFdqbm4zZlF3NThFZFFJeWpCaTZJVEFKYldCcVBRUnFUQTFDOWI2SGVaa0lndUlqT3ZjVkVGalhpbnNSYnRSZw?oc=5,연합뉴스,COLLECTION_FILTER,,,collection_relevance:collection_relevance:self_entity_absent_from_title_and_front_summary,,,,,,
카카오,[기고] 누가 카카오모빌리티의 미래를 막았는가,https://news.google.com/rss/articles/CBMigAFBVV95cUxNblRVcUQtdDZKTmMtZksyN21UMGRDS1FOdlVvMjNjd3BYZkVmS3VOckEtR0J4R3RmNGxjZ0pBVTVRU1FhNnFpLU45ejNiWjkxSVByeE1GRUVOLXZad3NTNjlwd3I4X2lENmh0V1BPNWZlWXIxYUNEdzdhYlZUa0NQcA?oc=5,이데일리,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"카카오, 환경의 날 맞아 제주 생태 보전 위한 상생 활동 전개",https://news.google.com/rss/articles/CBMibEFVX3lxTE5QdnZvbTlSZVhkVDlNWkNKLTRDTjNJczVCd0UwdG9PM09rWGFGaFFnTU5IQkVGMS04ck84NGxoYW1aRXhvZEZJQVJBS0VUR1FCcmpwOXh5eXVMMFZTTjBxWmJnLUNDQzNPTVNIMA?oc=5,뉴스N제주,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
