검색어,후보제목,후보링크,후보언론사,매칭과거일자,매칭과거제목,매칭과거링크,중복판정이유,공유주체,공유사건태그,종합점수,제목점수,토큰점수,본문점수
카카오,"카카오뱅크, 출시 1년만 '대화형 AI 검색' 이용자 500만 돌파",https://news.google.com/rss/articles/CBMiYEFVX3lxTE5vR0tRbkt6ZEVqdHVJeHpFMVB0dkhNYW1KbU0tRklHWTJqdnZaRkstbUdxdWRiN19NeVI0MlVxZVo5RVI3ZHJmU0RUVDY5andGWXpVQVpTSUh2ZWkxdmZYQdIBeEFVX3lxTFBwNkc0ZjFQUEk3Z096SVVzc1d2YXVZeFU5aDJtYkgwa3FwcDAtX1ByZnBRNVlZbVh1VFhIMWFzSVd2cXd3cmJ6YXVKT3BGUUx5TTAxdEc2UG5tRHpmVWRnaHRBYkVZU0lqVFpiRHVfc3RvTW1qMy1EUw?oc=5,뉴시스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"카카오페이, '삼성페이 결제 시' 페이백 혜택 쏜다",https://news.google.com/rss/articles/CBMiYkFVX3lxTE4tTWhCaVZNQ25oSDNJSUdtYlltcHN1OFJ6RWFQQ2NnR2pZVGdnbWdidnhGblhRRnFab0ZqWHBpZjhyOXV1bEZ5SzhuX1BsV3p2WF9Bd2EzSmxxa2NfRjVfS0NB?oc=5,이코노미스트,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"""카톡 멈추진 않겠지""...카카오 노조, 오늘 부분 파업한다",https://news.google.com/rss/articles/CBMiXkFVX3lxTE9WY3FXeU5LVEFFRS1wcnBVaWZlOFBPN1RPamxiY29aQUp2OHRQdGo0OVE0enVpVWhheVNFMnVnM0NRN3NnLXJGRGs2OXV0aWc4LUlubFpjMWNzb3FPRkHSAV5BVV95cUxPVmNxV3lOS1RBRUUtcHJwVWlmZThQTzdUT2psYmNvWkFKdjh0UHRqNDlRNHp1aVVoYXlTRTJ1ZzNDUTdzZy1yRkRrNjl1dGlnOC1JbmxaYzFjc29xT0ZB?oc=5,파이낸셜뉴스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"카카오, 오늘 창사 이래 첫 부분파업…“서비스 차질 없을 것”",https://news.google.com/rss/articles/CBMiW0FVX3lxTFBPMHhKNk1iOWZIcEJobEUwXzdfb1RXRW9tZ05nbHVNOXVJZTV3cVZxWnY3MlZjRGc1T3lteWFBR1dPWm1pMnJYTkU5eTFEdVc0WVZVRGZ4bUZqVFU?oc=5,KBS 뉴스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"카카오, 창사 첫 본사 파업...10일 ‘4시간 부분파업’ 돌입",https://news.google.com/rss/articles/CBMia0FVX3lxTE5HbkhiSmppUl93WjV6RlRheS1RTUJjWThtdHhjYXBIek1YZDFLZjJBb3ZPY3VkVlJzYm1DTFdzdVh0SXpodHpfUW9UcmFQVFNVQmozQnk5Z281ZjMwT0t0UDJtcDZVWDZERHRV?oc=5,한스경제,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"카카오 노조, 오늘 창사 첫 본사 부분파업…막판 교섭 돌파구 찾나",https://news.google.com/rss/articles/CBMieEFVX3lxTE9KZkJFV252MTNCS2dCbUZNdDdCb0dOa01Rd0dVWWtqZWItY2dvOVhDSjJMV1VjQTRib2FHREpxSzRhRU9IeDJPel9BOXJ5STRaNEFQdjhSZ2tZV0RmYjEtOHdGWEVUd2o5dWtlYzBmSVRWZlJXcHh2WdIBeEFVX3lxTE9KZkJFV252MTNCS2dCbUZNdDdCb0dOa01Rd0dVWWtqZWItY2dvOVhDSjJMV1VjQTRib2FHREpxSzRhRU9IeDJPel9BOXJ5STRaNEFQdjhSZ2tZV0RmYjEtOHdGWEVUd2o5dWtlYzBmSVRWZlJXcHh2WQ?oc=5,뉴시스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"[0610주요일정] 카카오 노조, 부분 파업 진행 예정…계열사 4개 법인 동참 등",https://news.google.com/rss/articles/CBMidkFVX3lxTE9TbjlkZW4xN0p2YUw1bWJPb3FpYl9Id0lfTkJocTlVY080MnFuMm12aTQzTEJRMXBqeVdRdjNzcy1qSnM1UmdDYnNDUHhUTnMxWkh2a2JLcml4Sm1fTjZYR1BBUng3N3gwcGJrbXlPMEZzV3ZNUUE?oc=5,인포스탁데일리,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,카카오 오늘 창사 첫 파업…노조 600명 판교 행진한다,https://news.google.com/rss/articles/CBMiWEFVX3lxTE5vWjFWU0t5NkgwakxzNkJOVml0cVpxMEJyVkdWQnNBOWZUYzRHT1JyYk1KOVJMcVdHSFd0X3Y4MHY0VHBJU0tLSmpyQzZxSjcxQUxRMDFIeGTSAVhBVV95cUxOb1oxVlNLeTZIMGpMczZCTlZpdHFacTBCclZHVkJzQTlmVGM0R09ScmJNSjlSTHFXR0hXdF92ODB2NFRwSVNLS0pqckM2cUo3MUFMUTAxSHhk?oc=5,SBSBiz,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"플랫폼 보상체계 시험대..카카오, 창사 첫 파업에 600명 판교 행진",https://news.google.com/rss/articles/CBMiUkFVX3lxTE5qVk5pbzNyUlQzQUpTMGJvY1RpMk05alNRNFp5WU9DekVqUGtSWGV3SGEzR3VQVnc0Tkl6VmhOSHpTRllhNlpzRkNLcTJHOGhpRUE?oc=5,한국정경신문,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"카카오뱅크, AI 대화형 서비스 이용자 500만명 돌파",https://news.google.com/rss/articles/CBMiWkFVX3lxTE5LM01leUxleHl1SFV5QlhYeEttZHMzNGpFZ2VNczk4SHhCRzQyOU5kYWNTQ1c3cDI4M3dhS0oxZGVfNkZmWFpRRTAxeHZkWVZxWXZvX01zb2R4Z9IBWEFVX3lxTE9CcW0yRGJlU2FDOXczVTFfQ3JJaGRCRU5fX2dYOGEzazdkS2gxeFNzYll2U3I5WXdnYlctRmlFZWZxQ3JZWTZ6N2ZHbGJPVmVpNlQyakpUckg?oc=5,아주경제,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
